"cell","x","y","built_pct","light_mcd_m2","pm25_ug_m3","utci_strong_h","hw_days","crop_frac","bii","landchange_freq","pop_dens_km2","gdp_pc_2022","utci_valid_h"
1,1171797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1201797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1231797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1261797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1291797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1321797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1351797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1381797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1411797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1441797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1471797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1501797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1531797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1561797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1591797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1621797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1651797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1681797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1711797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1741797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1771797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1801797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1831797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1861797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1891797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1921797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1951797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1981797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2011797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2041797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2071797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2101797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2131797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2161797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2191797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2221797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2251797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2281797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2311797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2341797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2371797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2401797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2431797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2461797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2491797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2521797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2551797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2581797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2611797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2641797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,2671797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2701797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2731797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2761797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,2791797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,2821797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2851797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
