"metric","value"
"source_doi","10.1594/PANGAEA.974335"
"input_mode","60 extracted WGS84 state GeoTIFFs"
"input_file_count","60"
"input_total_bytes","1865859011"
"source_archive_md5_expected","56fe959df25d8efbc542b90cf971945f"
"period_start","1960"
"period_end","2019"
"annual_transitions","59"
"v2_1km_min","0"
"v2_1km_max","59"
"v2_share_changed_pct","36.1592265669748"
"v1_10km_p98","6.88"
"v2_10km_p98","7.33"
"v1_10km_mean","1.22170563185651"
"v2_10km_mean","1.25071082094814"
"v2_minus_v1_10km_mean","0.0290051890916269"
"v2_vs_v1_10km_mae","0.329353196649652"
"v2_vs_v1_10km_pearson_r","0.929546554043533"
