"cntr","name","gdp_pc_ppp","pct_65plus"
"LU","Luxembourg",156542,15.8
"IE","Ireland",155089,16.2
"NO","Norway",104044,19.1
"CH","Switzerland",102513,20.4
"NL","Netherlands",87320,20.9
"IS","Iceland",83431,16
"DK","Denmark",83218,21.1
"AT","Austria",76778,21.1
"DE","Germany",75407,23.7
"BE","Belgium",74676,21
"SE","Sweden",72529,20.9
"MT","Malta",72210,20.5
"FI","Finland",65884,24.2
"UK","United Kingdom",64606,19.7
"CY","Cyprus",64575,14.9
"FR","France",63975,22.5
"IT","Italy",62803,25.1
"CZ","Czechia",60487,21.2
"ES","Spain",59868,21.6
"SI","Slovenia",59245,22.2
"LT","Lithuania",56838,20.7
"PL","Poland",54262,20.8
"PT","Portugal",53146,24.9
"EE","Estonia",52106,21.8
"HR","Croatia",50946,23.6
"RO","Romania",50895,20.1
"HU","Hungary",49838,21.2
"SK","Slovakia",49309,19
"LV","Latvia",46137,22.2
"EL","Greece",45264,24.4
"BG","Bulgaria",44451,22.2
"LI","Liechtenstein",NA,21.4
