"country","iso","person_days","pop","mean_days","pd_per_capita"
"Spain","ES",1624826648,43870501,37.2,37
"France","FR",1619686446,62941655,27.7,25.7
"Italy","IT",1588856228,56337098,30.5,28.2
"United Kingdom","UK",1084323253,63966441,15.5,17
"Germany","DE",1001681699,82868034,11.6,12.1
"Poland","PL",508907928,38203283,13.9,13.3
"Belgium","BE",313897649,11524520,24.9,27.2
"Netherlands","NL",292050364,16989507,17.7,17.2
"Portugal","PT",288190988,9645537,30.5,29.9
"Romania","RO",245132620,19452385,11.8,12.6
"Hungary","HU",161499863,9735994,16.7,16.6
"Greece","EL",141396424,9281865,13,15.2
"Switzerland","CH",130621647,8560120,14.7,15.3
"Sweden","SE",130323663,9780575,13.4,13.3
"Finland","FI",89831763,5176844,19,17.4
"Bulgaria","BG",80115716,6707354,13.9,11.9
"Slovakia","SK",72052380,5512661,13.3,13.1
"Denmark","DK",70140460,5209095,11.9,13.5
"Austria","AT",61776123,9020930,6.1,6.8
"Ireland","IE",61513396,4767039,13.5,12.9
"Croatia","HR",60272441,3924745,17.5,15.4
"Lithuania","LT",51927891,2798581,19.3,18.6
"Czechia","CZ",46339629,10557421,3.8,4.4
"Norway","NO",41083537,4482934,12.8,9.2
"Slovenia","SI",37698682,2131705,17.6,17.7
"Latvia","LV",31071652,1882965,17.8,16.5
"Estonia","EE",20118932,1142495,17.5,17.6
"Cyprus","CY",7567038,1137122,11,6.7
"Luxembourg","LU",6414233,586006,12.9,10.9
"Malta","MT",5980442,354767,20.3,16.9
"Iceland","IS",3862613,293353,13.3,13.2
"Liechtenstein","LI",781869,65042,11.5,12
