"iso2","name","pop","exp_naive_ph","exp_corr_ph","pct_change","hw_pop","hw_crop","hw_ratio","ghd_missing"
"IT","Italy",55592102,3384263766,3403971212,0.6,28.58,29.02,1.016,FALSE
"ES","Spain",43038842,3322770495,3360816265,1.1,37.75,39.06,1.035,FALSE
"FR","France",62859014,3134093272,3111253121,-0.7,25.77,25.19,0.978,FALSE
"UK","United Kingdom",63674190,2022262866,2092374489,3.5,17.03,19.15,1.124,FALSE
"DE","Germany",82843099,1878153186,1858090040,-1.1,12.09,11.7,0.968,FALSE
"PL","Poland",38198038,1045805792,1073348606,2.6,13.32,14.17,1.063,FALSE
"RO","Romania",19452385,598123594,615587408,2.9,12.6,13.2,1.047,FALSE
"BE","Belgium",11481696,561876792,565824400,0.7,27.34,27.93,1.021,FALSE
"NL","Netherlands",16794685,549054684,554097804,0.9,17.39,17.91,1.03,FALSE
"PT","Portugal",9606025,569177202,550933525,-3.2,30,27.45,0.915,FALSE
"HU","Hungary",9735994,294737250,296964011,0.8,16.59,16.88,1.017,FALSE
"CH","Switzerland",8560120,254059103,262093328,3.2,15.26,16.74,1.097,FALSE
"SE","Sweden",9620923,265208654,261004577,-1.6,13.55,12.82,0.946,FALSE
"EL","Greece",9039251,259462439,229123737,-11.7,15.64,11.42,0.73,FALSE
"BG","Bulgaria",6707354,199087553,225818348,13.4,11.94,15.05,1.26,FALSE
"FI","Finland",5101870,176968572,179052004,1.2,17.61,18.25,1.037,FALSE
"SK","Slovakia",5512661,145545807,148761534,2.2,13.07,13.77,1.053,FALSE
"AT","Austria",9020930,138996276,139670358,0.5,6.85,6.94,1.013,FALSE
"LT","Lithuania",2796959,132935402,135033964,1.6,18.57,19.25,1.037,FALSE
"DK","Denmark",5173232,132565470,127817268,-3.6,13.56,11.96,0.882,FALSE
"IE","Ireland",4638501,119335988,122421148,2.6,13.26,14.38,1.084,FALSE
"HR","Croatia",3890087,125065316,116579173,-6.8,15.49,12.68,0.818,FALSE
"CZ","Czechia",10557421,92910956,88280803,-5,4.39,3.87,0.882,FALSE
"NO","Norway",4229015,84632087,83661359,-1.1,9.71,9.34,0.961,FALSE
"LV","Latvia",1879500,81407728,83080032,2.1,16.53,17.48,1.057,FALSE
"SI","Slovenia",2131705,94435199,80765418,-14.5,17.68,12.27,0.694,FALSE
"EE","Estonia",1142243,39734891,39439186,-0.7,17.61,17.22,0.978,FALSE
"LU","Luxembourg",586006,12892608,13466517,4.5,10.95,12.79,1.169,FALSE
"MT","Malta",334262,11691765,12442959,6.4,17.89,21.15,1.182,FALSE
"CY","Cyprus",888422,11918086,11931507,0.1,8.52,8.54,1.003,FALSE
"IS","Iceland",285658,7783165,7565703,-2.8,13.52,12.33,0.912,FALSE
"LI","Liechtenstein",65042,0,0,NA,12.02,11.71,0.974,TRUE
