"CNTR_ID","NAME_ENGL","grip_len_km","land_km2","density_m_km2"
"GI","Gibraltar",66,5,13567
"VA","Vatican City",1829,191,9581
"MC","Monaco",148,29,5093
"GG","Guernsey",142,50,2833
"NL","Netherlands",76920,34225,2247
"BE","Belgium",64881,30418,2133
"JE","Jersey",258,125,2066
"SM","San Marino",117,62,1903
"LU","Luxembourg",4920,2603,1890
"DE","Germany",560770,352510,1591
"AL","Albania",32193,27907,1154
"CH","Switzerland",46022,40027,1150
"DK","Denmark",44646,38863,1149
"CZ","Czechia",89153,78157,1141
"UK","United Kingdom",253067,232695,1088
"AT","Austria",90193,83251,1083
"IM","Isle of Man",495,491,1008
"IT","Italy",253513,292559,867
"FR","France",524436,629992,832
"FO","Faroes",676,910,743
"PL","Poland",224581,307119,731
"PT","Portugal",62471,89967,694
"SK","Slovakia",32772,48556,675
"LI","Liechtenstein",76,117,648
"EL","Greece",79479,123126,646
"SI","Slovenia",12399,19954,621
"HU","Hungary",56691,92250,615
"HR","Croatia",32492,53753,604
"IE","Ireland",39759,67715,587
"TR","Türkiye",430763,764176,564
"ES","Spain",262962,500158,526
"LV","Latvia",26460,62695,422
"EE","Estonia",17334,41554,417
"LT","Lithuania",26022,63510,410
"BG","Bulgaria",43517,110223,395
"UA","Ukraine",228155,582400,392
"BY","Belarus",80434,205553,391
"FI","Finland",88078,299629,294
"SE","Sweden",118107,409942,288
"RO","Romania",63620,234961,271
"MD","Moldova",9007,33412,270
"RS","Serbia",22856,88174,259
"ME","Montenegro",2947,13351,221
"NO","Norway",58475,296977,197
"MK","North Macedonia",4361,24969,175
"BA","Bosnia and Herzegovina",8008,51248,156
"IS","Iceland",13823,97675,142
"TN","Tunisia",20500,153529,134
"MA","Morocco",38267,411849,93
"AD","Andorra",46,506,90
"RU","Russian Federation",632969,16399677,39
"DZ","Algeria",54944,2307901,24
"GL","Greenland",0,2114047,0
"SJ","Svalbard and Jan Mayen",0,51875,0
